,Object,Custom_LineNum
0,DocuSign,1.0
1,Envelope,1.0
2,ID:,1.0
3,E823DB6C-1D50-41E4-A599-66B9E96141AA,1.0
4,ACH,2.0
5,INFORMATION:,2.0
6,E-mail,2.0
7,Remittance,2.0
8,To:,2.0
9,gachremittance@cdw.com,2.0
10,REMIT,3.0
11,PAYMENT,3.0
12,TO:,3.0
13,INVOICE,3.0
14,THE,3.0
15,NORTHERN,3.0
16,TRUST,3.0
17,ROUTING,3.0
18,NO.:,3.0
19,071000152,3.0
20,50,4.0
21,SOUTH,4.0
22,LASALLE,4.0
23,STREET,4.0
24,ACCOUNT,4.0
25,NAME:,4.0
26,CDW,4.0
27,GOVERNMENT,4.0
28,"CHICAGO,",5.0
29,IL,5.0
30,60675,5.0
31,ACCOUNT,5.0
32,NO.:,5.0
33,91057,5.0
34,CDW-G,6.0
35,CDW,6.0
36,Government,6.0
37,INVOICE,6.0
38,NUMBER,6.0
39,INVOICE,6.0
40,DATE,6.0
41,CUSTOMER,6.0
42,NUMBER,6.0
43,75,7.0
44,Remittance,7.0
45,"Drive,",7.0
46,Suite,7.0
47,1515,7.0
48,LF05080,7.0
49,08/08/23,7.0
50,4637575,7.0
51,"Chicago,",8.0
52,IL,8.0
53,60675-1515,8.0
54,SUBTOTAL,9.0
55,SHIPPING,9.0
56,SALES,9.0
57,TAX,9.0
58,RETURN,10.0
59,SERVICE,10.0
60,REQUESTED,10.0
61,"$3,215.08",11.0
62,$0.00,11.0
63,$0.00,11.0
64,DUE,12.0
65,DATE,12.0
66,AMOUNT,12.0
67,DUE,12.0
68,09/07/23,13.0
69,"$3,215.08",13.0
70,8/17/2023,14.0
71,IT,14.0
72,invoice,14.0
73,mailbox,14.0
74,CDW,15.0
75,Government,15.0
76,WASHINGTON,16.0
77,SUBURBAN,16.0
78,SANITARY,16.0
79,COMM,16.0
80,75,16.0
81,Remittance,16.0
82,Drive,16.0
83,14501,17.0
84,SWEITZER,17.0
85,LN,17.0
86,Suite,17.0
87,1515,17.0
88,LAUREL,18.0
89,MD,18.0
90,20707-5901,18.0
91,"Chicago,",18.0
92,IL,18.0
93,60675-1515,18.0
94,USA,19.0
95,USA,20.0
96,PLEASE,21.0
97,RETURN,21.0
98,THIS,21.0
99,PORTION,21.0
100,WITH,21.0
101,YOUR,21.0
102,PAYMENT,21.0
103,INVOICE,22.0
104,DATE,22.0
105,INVOICE,22.0
106,NUMBER,22.0
107,PAYMENT,22.0
108,TERMS,22.0
109,DUE,22.0
110,DATE,22.0
111,08/08/23,23.0
112,LF05080,23.0
113,Net,23.0
114,30,23.0
115,Days,23.0
116,09/07/23,23.0
117,ORDER,24.0
118,DATE,24.0
119,SHIP,24.0
120,VIA,24.0
121,PURCHASE,24.0
122,ORDER,24.0
123,NUMBER,24.0
124,CUSTOMER,24.0
125,NUMBER,24.0
126,08/04/23,25.0
