,Object,Custom_LineNum
0,SUPPLIER,1.0
1,CLIENT,1.0
2,SVk,2.0
3,TRV,2.0
4,Rohit,2.0
5,Sharma,2.0
6,91,3.0
7,"Springboard,",3.0
8,Creaticity,3.0
9,CUST-001,3.0
10,mall.,4.0
11,"Yerawada,",4.0
12,Pune.,4.0
13,rohit@swipez.in,4.0
14,Maharashtra,5.0
15,411006,5.0
16,7303885709,5.0
17,pareshhpati@gmail.com,6.0
18,9307691293,7.0
19,INVOICE,8.0
20,DUE,8.0
21,DATE,8.0
22,AMOUNT,8.0
23,DUE,8.0
24,INV-001,9.0
25,31-MAY-2022,9.0
26,2360.00,9.0
27,Bill,10.0
28,date:,10.0
29,31,10.0
30,May,10.0
31,2022,10.0
32,Payment,10.0
33,Method:,10.0
34,Bank,10.0
35,Transfer,10.0
36,Due,11.0
37,date:,11.0
38,31,11.0
39,May,11.0
40,2022,11.0
41,Transaction,11.0
42,Number:,11.0
43,H000000154,11.0
44,Item,12.0
45,Sac,12.0
46,Code,12.0
47,Quantity,12.0
48,Unit,12.0
49,Price,12.0
50,GST,12.0
51,Total,12.0
52,1,13.0
53,Converse,13.0
54,All,13.0
55,Star,13.0
56,9999,13.0
57,1,13.0
58,1000.00,13.0
59,18%,13.0
60,1000.00,13.0
61,Terms,14.0
62,&,14.0
63,conditions,14.0
64,SUB,14.0
65,TOTAL,14.0
66,2000.00,14.0
67,1.,15.0
68,Lorem,15.0
69,Ipsum,15.0
70,is,15.0
71,simply,15.0
72,dummy,15.0
73,text,15.0
74,of,15.0
75,the,16.0
76,printing.,16.0
77,CGST@9%,16.0
78,90.00,16.0
79,2.,17.0
80,Text,17.0
81,ever,17.0
82,since,17.0
83,the,17.0
84,1500s.,17.0
85,when,17.0
86,an,17.0
87,unknown,18.0
88,printer,18.0
89,took.,18.0
90,SGST@9%,18.0
91,90.00,18.0
92,3.,19.0
93,Survived,19.0
94,not,19.0
95,only,19.0
96,five,19.0
97,"centuries,",19.0
98,but,19.0
99,also,20.0
100,the,20.0
101,leap,20.0
102,into,20.0
103,electronic,20.0
104,TOTAL,20.0
105,2.360.00,20.0
106,4.,21.0
107,Contrary,21.0
108,to,21.0
109,popular,21.0
110,belief.,21.0
111,Lorem,21.0
112,Ipsum,22.0
113,is,22.0
114,not,22.0
115,simply,22.0
116,random,22.0
117,text,22.0
118,AMOUNT,22.0
119,DUE,22.0
120,"2.360,00",22.0
121,Amount(in,23.0
122,words),23.0
123,:,23.0
124,Two,23.0
125,Thousand,23.0
126,Three,24.0
127,Hundred,24.0
128,Sixty,24.0
129,Rupees,24.0
130,THANK,25.0
131,YOU,25.0
132,FOR,25.0
133,YOUR,25.0
134,PURCHASE,25.0
