,Object,Custom_LineNum
0,abc,1.0
1,signature,1.0
2,INVOICE,2.0
3,Page,3.0
4,1,3.0
5,of,3.0
6,1,3.0
7,CBS,4.0
8,EYE,4.0
9,510,5.0
10,18TH,5.0
11,AVE.,5.0
12,HONOLULU,6.0
13,HI,6.0
14,96816,6.0
15,E,6.0
16,nor,6.0
17,1121,6.0
18,2002,6.0
19,BY:,7.0
20,Customer,8.0
21,Invoice,8.0
22,Invoice,8.0
23,Due,8.0
24,Deal,8.0
25,Invoice,8.0
26,Number,9.0
27,Number,9.0
28,Date,9.0
29,Date,9.0
30,Reference,9.0
31,Amount,9.0
32,80168219,10.0
33,1800772176,10.0
34,08/18/2022,10.0
35,09/17/2022,10.0
36,Wardrobe-44021,10.0
37,380.00,10.0
38,Payment,11.0
39,Terms:,11.0
40,Net,11.0
41,30,11.0
42,Days,11.0
43,Installment,12.0
44,Text:,12.0
45,44021,12.0
46,Description,13.0
47,Amount,13.0
48,Costume,14.0
49,Rental,14.0
50,W/,14.0
51,NCIS,14.0
52,Hawaii,14.0
53,PO#NCH-021086,14.0
54,USD,14.0
55,Costume,15.0
56,Rental,15.0
57,W/NCIS,15.0
58,Hawaii,15.0
59,PO#NCH-021086,15.0
60,380.00,15.0
61,Net,16.0
62,value:,16.0
63,380.00,16.0
64,USD,16.0
65,Total,17.0
66,including,17.0
67,Tax/VAT:,17.0
68,380.00,17.0
69,USD,17.0
70,Matches,18.0
71,P.O.,18.0
72,CLOSE,18.0
73,PO,18.0
74,VENDOR,19.0
75,#,19.0
76,PO,20.0
77,.,20.0
78,2086,20.0
79,D/F,20.0
80,1099,21.0
81,NO/YES,21.0
82,1/7,21.0
83,ASSET,22.0
84,NC/YES,22.0
85,FUEL,23.0
86,NOTYES,23.0
87,G/D/P,23.0
88,Check,24.0
89,Payments,24.0
90,ACCT,24.0
91,#,24.0
92,0272793310,24.0
93,$_380.00,24.0
94,IQ,24.0
95,28160,25.0
96,Network,25.0
97,Place,25.0
98,"Chicago,",26.0
99,IL,26.0
100,60673-1281,26.0
101,ACCT,26.0
102,#,26.0
103,J,26.0
104,$_3.10,26.0
105,NQ,26.0
106,ACH/EFT/Wire,27.0
107,Payments,27.0
108,ACCT,27.0
109,#,27.0
110,945,27.0
111,on,27.0
112,$_17.10),27.0
113,JPMorgan,28.0
114,Chase,28.0
115,"Bank,",28.0
116,N.A.,28.0
117,4,28.0
118,New,28.0
119,York,28.0
120,"Plaza,",28.0
121,New,28.0
122,"York,",28.0
123,NY,28.0
124,10004,28.0
125,APPROVALS,28.0
126,ABA/Routing,29.0
127,#,29.0
128,"021000021,",29.0
129,Account,29.0
130,#,29.0
131,657600925,29.0
132,My,29.0
133,DEPT.,30.0
134,HEAD,30.0
135,ACCOUNTANT,30.0
136,UPM/LINE,30.0
137,PROO,30.0
138,c,31.0
139,Dinney,31.0
140,GUMUADO,31.0
