,Object,Custom_LineNum
0,+,1.0
1,Company,2.0
2,Name,2.0
3,567,3.0
4,Street,3.0
5,Name,3.0
6,888-888-8888,3.0
7,DOCX,3.0
8,"City,",4.0
9,State,4.0
10,ZIP,4.0
11,Code,4.0
12,contact@email.com,4.0
13,Country,5.0
14,companywebsite.com,5.0
15,Billed,6.0
16,To,6.0
17,Your,7.0
18,Client,7.0
19,Street,8.0
20,Address,8.0
21,"City,",9.0
22,State,9.0
23,ZIP,9.0
24,Code,9.0
25,Country,10.0
26,Invoice,11.0
27,Description,11.0
28,Unit,11.0
29,Cost,11.0
30,QTY/HR,11.0
31,RATE,11.0
32,Amount,11.0
33,Item,12.0
34,name,12.0
35,$0,12.0
36,1,12.0
37,$0,12.0
38,Invoice,13.0
39,Number,13.0
40,Item,13.0
41,name,13.0
42,$0,13.0
43,1,13.0
44,$0,13.0
45,00001,14.0
46,Date,15.0
47,of,15.0
48,Issue,15.0
49,Item,15.0
50,name,15.0
51,$0,15.0
52,1,15.0
53,$0,15.0
54,mm/dd/yyyy,16.0
55,Item,17.0
56,name,17.0
57,$0,17.0
58,1,17.0
59,$0,17.0
60,Item,18.0
61,name,18.0
62,$0,18.0
63,1,18.0
64,$0,18.0
65,Subtotal,19.0
66,$0,19.0
67,Terms,20.0
68,Discount,20.0
69,$0,20.0
70,Net,21.0
71,30,21.0
72,(Tax,21.0
73,Rate),21.0
74,0%,21.0
75,Tax,22.0
76,$0,22.0
77,Invoice,23.0
78,Total,23.0
79,$5000,24.0
