,Object,Custom_LineNum
0,East,1.0
1,Repair,1.0
2,Inc.,1.0
3,INVOICE,1.0
4,1912,2.0
5,Harvest,2.0
6,Lane,2.0
7,New,3.0
8,"York,",3.0
9,NY,3.0
10,12210,3.0
11,Bill,4.0
12,To,4.0
13,Ship,4.0
14,To,4.0
15,Invoice,4.0
16,#,4.0
17,US-001,4.0
18,John,5.0
19,Smith,5.0
20,John,5.0
21,Smith,5.0
22,Invoice,5.0
23,Date,5.0
24,11/02/2019,5.0
25,2,6.0
26,Court,6.0
27,Square,6.0
28,3787,6.0
29,Pineview,6.0
30,Drive,6.0
31,New,7.0
32,"York,",7.0
33,NY,7.0
34,12210,7.0
35,P.O.#,7.0
36,2312/2019,7.0
37,"Cambridge,",7.0
38,MA,7.0
39,12210,7.0
40,Due,8.0
41,Date,8.0
42,26/02/2019,8.0
43,QTY,9.0
44,DESCRIPTION,9.0
45,UNIT,9.0
46,PRICE,9.0
47,AMOUNT,9.0
48,1,10.0
49,Front,10.0
50,and,10.0
51,rear,10.0
52,brake,10.0
53,cables,10.0
54,100.00,10.0
55,100.00,10.0
56,2,11.0
57,New,11.0
58,set,11.0
59,of,11.0
60,pedal,11.0
61,arms,11.0
62,15.00,11.0
63,30.00,11.0
64,3,12.0
65,Labor,12.0
66,3hrs,12.0
67,5.00,12.0
68,15.00,12.0
69,Subtotal,13.0
70,145.00,13.0
71,Sales,14.0
72,Tax,14.0
73,6.25%,14.0
74,9.06,14.0
75,TOTAL,15.0
76,$154.06,15.0
77,JohnSmith,16.0
78,Terms,17.0
79,&,17.0
80,Conditions,17.0
81,Payment,18.0
82,is,18.0
83,due,18.0
84,within,18.0
85,15,18.0
86,days,18.0
87,Please,19.0
88,make,19.0
89,checks,19.0
90,payable,19.0
91,to:,19.0
92,East,19.0
93,Repair,19.0
94,Inc.,19.0
