,Object,Custom_LineNum
0,DocuSign,1.0
1,Envelope,1.0
2,ID:,1.0
3,0783E2BA-3005-449A-A03B-A293496FC019,1.0
4,AQUARIUS,2.0
5,SEDARU,2.0
6,AQUATIC,3.0
7,INVOICE,3.0
8,AQUATIC,4.0
9,COMPLIANCE,4.0
10,PLATFORM,4.0
11,TOKAY,4.0
12,Informatics,5.0
13,AQUATIC,5.0
14,COMPLIANCE,5.0
15,&,5.0
16,OPERATIONS,5.0
17,WIMS,5.0
18,LINKO,6.0
19,WATERTRAX,6.0
20,Date,7.0
21,Invoice,7.0
22,#,7.0
23,PO,7.0
24,#,7.0
25,Terms,7.0
26,SalesPerson,7.0
27,17-JUL-2023,8.0
28,105346,8.0
29,157110-0,8.0
30,Net,8.0
31,30,8.0
32,"Burciaga,",8.0
33,Angela,8.0
34,Bill,9.0
35,To,9.0
36,Ship,9.0
37,To(Customer),9.0
38,Washington,10.0
39,Suburban,10.0
40,Sanitary,10.0
41,Commission,10.0
42,"(WSSC),",10.0
43,Maryland,10.0
44,14501,11.0
45,Sweitzer,11.0
46,Lane,11.0
47,LAUREL,12.0
48,MD,13.0
49,20707,14.0
50,United,15.0
51,States,15.0
52,Qty,16.0
53,Description,16.0
54,Rate,16.0
55,Amount,16.0
56,(USD),16.0
57,1,17.0
58,Tokay,17.0
59,Support,17.0
60,"5,910.00",17.0
61,"5,910.00",17.0
62,2,18.0
63,Aquatic,18.0
64,Academy,18.0
65,User,18.0
66,-,18.0
67,Tokay,18.0
68,RECEIVED,18.0
69,0.00,18.0
70,0.00,18.0
71,FEIN:,19.0
72,47-2917533,19.0
73,JUL,19.0
74,1_8_2023,19.0
75,Subtotal,19.0
76,"5,910.00",19.0
77,WSSCWATER,20.0
78,Taxes,20.0
79,0.00,20.0
80,Thank,20.0
81,you,20.0
82,for,20.0
83,your,20.0
84,business!,20.0
85,ACCOUNTS,21.0
86,PAYABLE,21.0
87,SECTION,21.0
88,Balance,21.0
89,Due,21.0
90,"5,910.00",21.0
91,Aquatic,22.0
92,Informatics,22.0
93,Inc.,22.0
94,Toll,23.0
95,Free,23.0
96,1.877.546.5699,23.0
97,I,23.0
98,Phone,23.0
99,+1.604.873.2782,23.0
100,I,23.0
101,ai-billing@aquaticinformatics.com,23.0
102,Note:,24.0
103,Overdue,24.0
104,invoices,24.0
105,will,24.0
106,accrue,24.0
107,interest,24.0
108,at,24.0
109,the,24.0
110,rate,24.0
111,of,24.0
112,1.5%,24.0
113,of,24.0
114,the,24.0
115,outstanding,24.0
116,balance,24.0
117,per,24.0
118,month.,24.0
119,Terms,25.0
120,&,25.0
121,Conditions,25.0
122,-,25.0
123,Aquatic,25.0
124,Informatics,25.0
125,Remittance,26.0
126,Address:,26.0
127,Online,26.0
128,Payment,26.0
129,Information:,26.0
130,Aquatic,27.0
131,Informatics,27.0
132,Inc.,27.0
133,Bank,27.0
134,of,27.0
135,"America,",27.0
136,N.A,27.0
137,I,27.0
138,Aquatic,27.0
139,Informatics,27.0
140,Inc.,27.0
141,PO,28.0
142,BOX,28.0
143,7410215,28.0
144,Account,28.0
145,Number:,28.0
146,8765434141,28.0
147,"Chicago,",29.0
148,"IL,",29.0
149,USA,29.0
150,60674-0215,29.0
151,Routing,29.0
152,Number:,29.0
153,071923284,29.0
154,DocuSigned,30.0
155,by:,30.0
156,DocuSigned,31.0
157,by:,31.0
158,DE69219CA88F4BC,32.0
159,4077E2ECEEA6440.,33.0
160,Jul,34.0
161,"25,",34.0
162,2023,34.0
163,8:15,34.0
164,PM,34.0
165,EDT,34.0
