,Object,Custom_LineNum
0,A.E.Peterson,1.0
1,Manufacturing,1.0
2,Inc,1.0
3,Invoice,1.0
4,Date,1.0
5,Invoice,1.0
6,#,1.0
7,6445,2.0
8,La,2.0
9,Cumbre,2.0
10,rd.,2.0
11,3/13/2023,2.0
12,1797,2.0
13,"Somis,",3.0
14,CA,3.0
15,93066,3.0
16,RECEIVED,4.0
17,PETERSON,4.0
18,Phone,5.0
19,.,5.0
20,818,5.0
21,219,5.0
22,1946,5.0
23,/,5.0
24,805-386-8606,5.0
25,MAR,5.0
26,2,5.0
27,3_2023,5.0
28,MANUFACTURING,5.0
29,Bill,6.0
30,To,6.0
31,Topanga,7.0
32,Productions,7.0
33,Ship,7.0
34,To,7.0
35,25135,8.0
36,Anza,8.0
37,Dr.,8.0
38,Stage,9.0
39,3,9.0
40,Santa,10.0
41,"Clarita,",10.0
42,CA,10.0
43,91355,10.0
44,P.O.,11.0
45,Number,11.0
46,Terms,11.0
47,Ship,11.0
48,Project,11.0
49,VERBAL,12.0
50,Due,12.0
51,on,12.0
52,receipt,12.0
53,3/13/2023,12.0
54,SWAT,12.0
55,S6,12.0
56,POH52211,12.0
57,Quantity,13.0
58,Item,13.0
59,Code,13.0
60,Description,13.0
61,Price,13.0
62,Each,13.0
63,Amount,13.0
64,1,14.0
65,Engineering,14.0
66,Elevator,14.0
67,display,14.0
68,control,14.0
69,"computer,",14.0
70,cables,14.0
71,"design,",14.0
72,"1,500.00",14.0
73,"1,500.00",14.0
74,fab.,15.0
75,UPM,16.0
76,PO#/52211,17.0
77,DEPT.,17.0
78,Matches,18.0
79,all,18.0
80,NOOT,18.0
81,PO?,19.0
82,Y,19.0
83,N,19.0
84,the,19.0
85,or,19.0
86,PALE,19.0
87,1099,20.0
88,"TRANS#,",20.0
89,15230,20.0
90,ACCT#,21.0
91,201600,21.0
92,-,21.0
93,2690,21.0
94,-,21.0
95,OE,21.0
96,A,21.0
97,ACCT#,22.0
98,Subtotal,23.0
99,Sales,23.0
100,Tax,23.0
101,(7.75%),23.0
102,$0.00,23.0
103,PUR:,24.0
104,ELEVATOR,24.0
105,DISPLAY,24.0
106,CONTROL,24.0
107,computer,24.0
108,Total,24.0
109,"$1,500.00",24.0
110,All,25.0
111,work,25.0
112,is,25.0
113,completet,25.0
114,Payments/Credits,26.0
115,$0.00,26.0
116,Balance,27.0
117,Due,27.0
118,"$1,500.00",27.0
