,Object,Custom_LineNum
0,Your,1.0
1,Logo,1.0
2,INVOICE,1.0
3,Company,2.0
4,Name,2.0
5,INVOICE,2.0
6,NO.,2.0
7,DATE,2.0
8,123,3.0
9,Main,3.0
10,Street,3.0
11,100001,3.0
12,02/15/16,3.0
13,"Hamilton,",4.0
14,OH,4.0
15,44416,4.0
16,CUSTOMER,4.0
17,ID,4.0
18,TERMS,4.0
19,(321),5.0
20,456-7890,5.0
21,A246,5.0
22,Net,5.0
23,30,5.0
24,Days,5.0
25,Email,6.0
26,Address,6.0
27,BILL,7.0
28,TO:,7.0
29,SHIP,7.0
30,TO:,7.0
31,ATTN:,8.0
32,Name_/_Dept,8.0
33,ATTN:,8.0
34,Name_/_Dept,8.0
35,Company,9.0
36,Name,9.0
37,Company,9.0
38,Name,9.0
39,123,10.0
40,Main,10.0
41,Street,10.0
42,123,10.0
43,Main,10.0
44,Street,10.0
45,"Hamilton,",11.0
46,OH,11.0
47,44416,11.0
48,"Hamilton,",11.0
49,OH,11.0
50,44416,11.0
51,(321)_456-7890,12.0
52,(321)_456-7890,12.0
53,Email,13.0
54,Address,13.0
55,DESCRIPTION,14.0
56,AMOUNT,14.0
57,Item,15.0
58,1,15.0
59,25.00,15.0
60,Service,16.0
61,1,16.0
62,50.00,16.0
63,Service,17.0
64,2,17.0
65,50.00,17.0
66,Remarks,18.0
67,/,18.0
68,Instructions:,18.0
69,SUBTOTAL,18.0
70,125.00,18.0
71,TAX,19.0
72,(3.8%),19.0
73,4.75,19.0
74,SHIPPING,20.0
75,&,20.0
76,HANDLING,20.0
77,10.00,20.0
78,THANK,21.0
79,YOU,21.0
80,TOTAL,21.0
81,$,21.0
82,139.75,21.0
