,Object,Custom_LineNum
0,Company,1.0
1,Name,1.0
2,INVOICE,1.0
3,[Street,2.0
4,Address],2.0
5,"[City,",3.0
6,ST,3.0
7,ZIP],3.0
8,DATE,3.0
9,12/9/2019,3.0
10,Phone:,4.0
11,[000-000-0000],4.0
12,INVOICE,4.0
13,#,4.0
14,[123456],4.0
15,Fax:,5.0
16,[000-000-0000],5.0
17,CUSTOMER,5.0
18,ID,5.0
19,[123],5.0
20,Website:,6.0
21,somedomain.com,6.0
22,DUE,6.0
23,DATE,6.0
24,1/8/2020,6.0
25,BILL,7.0
26,TO,7.0
27,[Name],8.0
28,[Company,9.0
29,Name],9.0
30,[Street,10.0
31,Address],10.0
32,"[City,",11.0
33,ST,11.0
34,ZIP],11.0
35,[Phone],12.0
36,DESCRIPTION,13.0
37,TAXED,13.0
38,AMOUNT,13.0
39,[Service,14.0
40,Fee],14.0
41,230.00,14.0
42,[Labor:,15.0
43,5,15.0
44,hours,15.0
45,at,15.0
46,$75/hr],15.0
47,375.00,15.0
48,[Parts],16.0
49,X,16.0
50,345.00,16.0
51,Subtotal,17.0
52,950.00,17.0
53,Taxable,18.0
54,345.00,18.0
55,OTHER,19.0
56,COMMENTS,19.0
57,Tax,19.0
58,rate,19.0
59,6.250%,19.0
60,1.,20.0
61,Total,20.0
62,payment,20.0
63,due,20.0
64,in,20.0
65,30,20.0
66,days,20.0
67,Tax,20.0
68,due,20.0
69,21.56,20.0
70,2.,21.0
71,Please,21.0
72,include,21.0
73,the,21.0
74,invoice,21.0
75,number,21.0
76,on,21.0
77,your,21.0
78,check,21.0
79,Other,21.0
80,-,21.0
81,TOTAL,22.0
82,$,22.0
83,971.56,22.0
84,Make,23.0
85,all,23.0
86,checks,23.0
87,payable,23.0
88,to,23.0
89,[Your,24.0
90,Company,24.0
91,Name],24.0
92,If,25.0
93,you,25.0
94,have,25.0
95,any,25.0
96,questions,25.0
97,about,25.0
98,this,25.0
99,"invoice,",25.0
100,please,25.0
101,contact,25.0
102,"[Name,",26.0
103,Phone,26.0
104,"#,",26.0
105,E-mail],26.0
106,Thank,27.0
107,You,27.0
108,For,27.0
109,Your,27.0
110,Business!,27.0
111,https://www.vertex42.com/ExcelTemplates/excel-invoice-template.html,28.0
112,Invoice,28.0
113,Template,28.0
114,?,28.0
115,2010-2019,28.0
116,by,28.0
117,Vertex42.com,28.0
