,Object,Custom_LineNum
0,Docu,1.0
1,Sign,1.0
2,SECURED,2.0
3,Certificate,3.0
4,Of,3.0
5,Completion,3.0
6,Envelope,4.0
7,Id:,4.0
8,2C392BF6593E410D90142754F0CC1909,4.0
9,Status:,4.0
10,Completed,4.0
11,Subject:,5.0
12,Please,5.0
13,DocuSign:,5.0
14,Magnitude_INV-MASUS-05953_20200630.pdt,5.0
15,Source,6.0
16,Envelope:,6.0
17,Document,7.0
18,Pages:,7.0
19,1,7.0
20,Signatures:,7.0
21,2,7.0
22,Envelope,7.0
23,Originator:,7.0
24,Certificate,8.0
25,Pages:,8.0
26,2,8.0
27,Initials:,8.0
28,0,8.0
29,Jennifer,8.0
30,Mathison,8.0
31,AutoNav:,9.0
32,Enabled,9.0
33,14501,9.0
34,Sweitzer,9.0
35,Lane,9.0
36,Envelopeld,10.0
37,Stamping:,10.0
38,Enabled,10.0
39,"Laurel,",10.0
40,MD,10.0
41,20707,10.0
42,Time,11.0
43,Zone:,11.0
44,(UTC-05:00),11.0
45,Eastern,11.0
46,Time,11.0
47,(US,11.0
48,&,11.0
49,Canada),11.0
50,Jennifer.Mathison@wsscwater.com,11.0
51,IP,12.0
52,Address:,12.0
53,73.172.238.189,12.0
54,Record,13.0
55,Tracking,13.0
56,Status:,14.0
57,Original,14.0
58,Holder:,14.0
59,Jennifer,14.0
60,Mathison,14.0
61,Location:,14.0
62,DocuSign,14.0
63,7/14/2020,15.0
64,2:03:09,15.0
65,PM,15.0
66,Jennifer.Mathison@wsscwater.com,15.0
67,Security,16.0
68,Appliance,16.0
69,Status:,16.0
70,Connected,16.0
71,Pool:,16.0
72,FedRamp,16.0
73,Storage,17.0
74,Appliance,17.0
75,Status:,17.0
76,Connected,17.0
77,Pool:,17.0
78,WSSC,17.0
79,Water,17.0
80,Location:,17.0
81,DocuSign,17.0
82,Signer,18.0
83,Events,18.0
84,Signature,18.0
85,Timestamp,18.0
86,Annemarie,19.0
87,Gunning,19.0
88,DocuSigned,19.0
89,by:,19.0
90,Sent:,19.0
91,7/14/2020,19.0
92,2:09:12,19.0
93,PM,19.0
94,Annemarie.Gunning@wsscwater.com,20.0
95,annemarie,20.0
96,gunning,20.0
97,Viewed:,20.0
98,7/15/2020,20.0
99,8:09:32,20.0
100,AM,20.0
101,C5BC95D5E8DA457,21.0
102,WSSC,21.0
103,Water,21.0
104,Signed:,21.0
105,7/15/2020,21.0
106,8:11:21,21.0
107,AM,21.0
108,Security,22.0
109,Level:,22.0
110,"Email,",22.0
111,Account,22.0
112,Authentication,22.0
113,Freeform,22.0
114,Signing,22.0
115,(Optional),23.0
116,Signature,23.0
117,Adoption:,23.0
118,Pre-selected,23.0
119,Style,23.0
120,Using,24.0
121,IP,24.0
122,Address:,24.0
123,173.73.84.198,24.0
124,Electronic,25.0
125,Record,25.0
126,and,25.0
127,Signature,25.0
128,Disclosure:,25.0
129,Not,26.0
130,Offered,26.0
131,via,26.0
132,DocuSign,26.0
133,Nneka,27.0
134,Assing,27.0
135,DocuSigned,27.0
136,by:,27.0
137,Sent:,27.0
138,7/15/2020,27.0
139,8:11:22,27.0
140,AM,27.0
141,nneka.assing@wsscwater.com,28.0
142,Viewed:,28.0
143,7/15/2020,28.0
144,8:31:02,28.0
145,AM,28.0
146,DE69219CA88F4BC,29.0
147,Section,29.0
148,"Manager,",29.0
149,IT,29.0
150,Finance,29.0
151,&,29.0
152,Contract,29.0
153,Signed:,29.0
154,7/15/2020,29.0
155,8:31:55,29.0
156,AM,29.0
157,Administration,30.0
158,Freeform,30.0
159,Signing,30.0
160,Signature,31.0
161,Adoption:,31.0
162,Uploaded,31.0
163,Signature,31.0
164,Image,31.0
165,WSSC,31.0
166,Water,31.0
167,Using,32.0
168,IP,32.0
169,Address:,32.0
170,69.251.146.58,32.0
171,Security,33.0
172,Level:,33.0
173,"Email,",33.0
174,Account,33.0
175,Authentication,33.0
176,(Optional),34.0
177,Electronic,35.0
178,Record,35.0
179,and,35.0
180,Signature,35.0
181,Disclosure:,35.0
182,Not,36.0
183,Offered,36.0
184,via,36.0
185,DocuSign,36.0
186,In,37.0
187,Person,37.0
188,Signer,37.0
189,Events,37.0
190,Signature,37.0
191,Timestamp,37.0
192,Editor,38.0
193,Delivery,38.0
194,Events,38.0
195,Status,38.0
196,Timestamp,38.0
197,Agent,39.0
198,Delivery,39.0
199,Events,39.0
200,Status,39.0
201,Timestamp,39.0
202,Intermediary,40.0
203,Delivery,40.0
204,Events,40.0
205,Status,40.0
206,Timestamp,40.0
207,Certified,41.0
208,Delivery,41.0
209,Events,41.0
210,Status,41.0
211,Timestamp,41.0
212,Carbon,42.0
213,Copy,42.0
214,Events,42.0
215,Status,42.0
216,Timestamp,42.0
217,Witness,43.0
218,Events,43.0
219,Signature,43.0
220,Timestamp,43.0
221,Notary,44.0
222,Events,44.0
223,Signature,44.0
224,Timestamp,44.0
225,Envelope,45.0
226,Summary,45.0
227,Events,45.0
228,Status,45.0
229,Timestamps,45.0
230,Envelope,46.0
231,Sent,46.0
232,Hashed/Encrypted,46.0
233,7/15/2020,46.0
234,8:11:22,46.0
235,AM,46.0
