,Object,Custom_LineNum
0,INVOICE,1.0
1,Z,1.0
2,#,1.0
3,INV-000001,1.0
4,Balance,2.0
5,Due,2.0
6,"$18,400.00",3.0
7,Zylker,4.0
8,Design,4.0
9,Labs,4.0
10,"14B,",5.0
11,Northern,5.0
12,Street,5.0
13,Greater,6.0
14,South,6.0
15,Avenue,6.0
16,New,7.0
17,York,7.0
18,New,7.0
19,York,7.0
20,10001,7.0
21,U.S.A,8.0
22,Bill,9.0
23,To,9.0
24,Jack,10.0
25,Little,10.0
26,3242,11.0
27,Chandler,11.0
28,Hollow,11.0
29,Road,11.0
30,Pittsburgh,12.0
31,15222,13.0
32,Pennsylvania,13.0
33,Ship,14.0
34,To,14.0
35,3242,15.0
36,Chandler,15.0
37,Hollow,15.0
38,Road,15.0
39,Invoice,15.0
40,Date,15.0
41,:,15.0
42,18,15.0
43,May,15.0
44,2023,15.0
45,Pittsburgh,16.0
46,Terms,17.0
47,:,17.0
48,15222,17.0
49,Pennsylvania,17.0
50,Due,17.0
51,on,17.0
52,Receipt,17.0
53,#,18.0
54,Item,18.0
55,&,18.0
56,Description,18.0
57,Qty,18.0
58,Rate,18.0
59,Amount,18.0
60,1,19.0
61,Brochure,19.0
62,Design,19.0
63,1.00,19.0
64,900.00,19.0
65,900.00,19.0
66,Brochure,20.0
67,design,20.0
68,-,20.0
69,Single,20.0
70,sided,20.0
71,(Color),20.0
72,2,21.0
73,Web,21.0
74,Design,21.0
75,packages,21.0
76,(Simple),21.0
77,1.00,21.0
78,"10,000.00",21.0
79,"10,000.00",21.0
80,10,22.0
81,"Pages,",22.0
82,"Slider,",22.0
83,Free,22.0
84,"Logo,",22.0
85,Dynamic,22.0
86,"Website,",22.0
87,Free,22.0
88,"Domain,",22.0
89,Hosting,22.0
90,Free,22.0
91,for,23.0
92,1st,23.0
93,"year,",23.0
94,3,24.0
95,Print,24.0
96,Ad,24.0
97,-,24.0
98,Newspaper,24.0
99,1.00,24.0
100,"7,500.00",24.0
101,"7,500.00",24.0
102,A,25.0
103,full-page,25.0
104,"ad,",25.0
105,Nationwide,25.0
106,Circulation,25.0
107,(Colour),25.0
108,Sub,26.0
109,Total,26.0
110,"18,400.00",26.0
111,Tax,27.0
112,Rate,27.0
113,5.00%,27.0
114,Total,28.0
115,$19320.00,28.0
116,Balance,29.0
117,Due,29.0
118,$19320.00,29.0
119,Notes,30.0
120,Thanks,31.0
121,for,31.0
122,your,31.0
123,business.,31.0
124,Terms,32.0
125,&,32.0
126,Conditions,32.0
127,All,33.0
128,payments,33.0
129,must,33.0
130,be,33.0
131,made,33.0
132,in,33.0
133,full,33.0
134,before,33.0
135,the,33.0
136,commencement,33.0
137,of,33.0
138,any,33.0
139,design,33.0
140,work.,33.0
