,Object,Custom_LineNum
0,RECEIVED,1.0
1,memore,2.0
2,AD,2.0
3,ANAS,3.0
4,NTD,3.0
5,FEB,3.0
6,26,3.0
7,2024,3.0
8,-,3.0
9,INVOICE-,3.0
10,104891,4.0
11,[STEP],4.0
12,BT.DHAHEROUR,5.0
13,MT,5.0
14,97100,5.0
15,DATE,5.0
16,:FEB,5.0
17,14,5.0
18,2024,5.0
19,PAGE,6.0
20,NO:,6.0
21,1,6.0
22,[ALBQ],6.0
23,TEL#:,7.0
24,FAX#:,7.0
25,lensique,7.0
26,A000,7.0
27,SLSM,7.0
28,NO:,7.0
29,SGK,7.0
30,TEL#:,8.0
31,10:01777,8.0
32,MOSCHITTO,9.0
33,-,9.0
34,TATE,9.0
35,MESANTTR,9.0
36,KTM,9.0
37,TITA,9.0
38,1601,10.0
39,COMMOSTAT,10.0
40,em,10.0
41,are,10.0
42,1605,10.0
43,AnDATAT.,10.0
44,em,10.0
45,ATE,10.0
46,MM,11.0
47,87109,11.0
48,sum,11.0
49,07102,11.0
50,[Acct#:MES00002-LOCAL],12.0
51,SHIPPED,13.0
52,CUSTOMER,13.0
53,PO,13.0
54,NO.,13.0
55,BUYER,13.0
56,TERMS,13.0
57,DUE,13.0
58,VIA,13.0
59,02-14-24,14.0
60,837-C,14.0
61,DATRICK,14.0
62,NET,14.0
63,30,14.0
64,03-15-24,14.0
65,PICK,14.0
66,UP,14.0
67,QTY,15.0
68,UM,15.0
69,PRODUCT,15.0
70,CODE,15.0
71,-,15.0
72,DESCRIPTION,15.0
73,UNIT,15.0
74,PRICE,15.0
75,AMOUNT,15.0
76,2,16.0
77,EA,16.0
78,GV92,16.0
79,-4,16.0
80,23.75,16.0
81,EA,16.0
82,47.50,16.0
83,4?,17.0
84,CASTER;,17.0
85,1/2-13,17.0
86,STEM;,17.0
87,GREY,17.0
88,TRD,17.0
89,BB,17.0
90,WHL,17.0
91,IF,18.0
92,PAID,18.0
93,BY,18.0
94,03-15-24,18.0
95,THE,18.0
96,NET,18.0
97,AMOUNT,18.0
98,DUE,18.0
99,IS,18.0
100,$51.12.,18.0
101,THANK,19.0
102,YOU,19.0
103,FOR,19.0
104,YOUR,19.0
105,ORDER,19.0
106,ATOM,19.0
107,PO,20.0
108,alog,20.0
109,P.O.,20.0
110,PO#,21.0
111,837,21.0
112,e,21.0
113,TRANS#,22.0
114,EPISODE#,23.0
115,02-350,23.0
116,ACCT#,24.0
117,2351,24.0
118,QE,24.0
119,DEPT,25.0
120,APPROVAL,26.0
121,ACCOUNTING,27.0
122,P,27.0
123,APPROVAL,28.0
124,UPM,29.0
125,APPROVAL,30.0
126,Grey,31.0
127,caster,31.0
128,ENTERED,32.0
129,3935,33.0
130,Signature,34.0
131,Subtotal,34.0
132,47.50,34.0
133,Print,35.0
134,Name,35.0
135,Sales,35.0
136,tax,35.0
137,3.62,35.0
138,Date,36.0
139,**,36.0
140,TOTAL,36.0
141,51.12,36.0
142,MERCHANDISE,37.0
143,NON-RETORNABLE,37.0
144,AFTER,37.0
145,30,37.0
146,DAYS,37.0
